Age,Income,Expenses,Savings,InvestmentAmount,Goal,Duration,Risk,Recommendation
50,43014,10293,32721,19556,Child Education,5,Medium,Balanced Fund
37,141884,78770,63114,17740,Emergency Fund,15,Low,Fixed Deposit
46,90554,11620,78934,4072,Child Education,21,Medium,Balanced Fund
25,37364,26928,10436,4544,Wealth Creation,16,High,Stocks
45,28402,15479,12923,4209,Child Education,2,Low,Mutual Fund
48,33861,27022,6839,2690,Retirement,21,Low,Government Bonds
46,115106,54708,60398,22777,Wealth Creation,16,Low,Mutual Fund
49,73410,60850,12560,11014,House Purchase,19,High,Mutual Fund
37,91615,18303,73312,14889,House Purchase,22,Low,Fixed Deposit
39,56456,17922,38534,6621,Wealth Creation,21,Low,Mutual Fund
45,55579,26979,28600,17794,Emergency Fund,11,High,Gold ETF
24,75007,11183,63824,8788,Retirement,23,High,Mutual Fund
57,145985,104604,41381,9691,Child Education,4,High,Mutual Fund
41,59198,37262,21936,15316,Retirement,11,High,Mutual Fund
50,46177,29310,16867,10699,House Purchase,8,High,Mutual Fund
47,48063,27130,20933,13955,Retirement,12,Low,Government Bonds
36,117489,43611,73878,9194,Emergency Fund,13,Low,Fixed Deposit
42,96633,33323,63310,8396,Child Education,4,Medium,Balanced Fund
39,84597,77820,6777,6000,Wealth Creation,22,High,Stocks
32,33346,14842,18504,7110,Child Education,21,Medium,Balanced Fund
26,148664,51685,96979,9930,Child Education,13,Medium,Balanced Fund
42,98233,59022,39211,4616,Child Education,24,Medium,Balanced Fund
54,133607,45986,87621,7821,House Purchase,16,Medium,Balanced Fund
27,146903,70306,76597,6037,Retirement,5,High,Mutual Fund
25,46569,19150,27419,11769,Retirement,25,High,Mutual Fund
38,39163,23297,15866,14920,Wealth Creation,19,High,Stocks
38,82065,44435,37630,7538,Retirement,20,Medium,Mutual Fund
44,104207,44237,59970,10049,Child Education,3,High,Mutual Fund
45,48050,31474,16576,4341,Child Education,23,Low,Mutual Fund
52,123781,106021,17760,3038,Child Education,20,High,Mutual Fund
48,115897,22935,92962,14777,Retirement,17,Low,Government Bonds
51,35078,24093,10985,10337,House Purchase,24,Medium,Balanced Fund
49,55328,28995,26333,23494,Emergency Fund,6,Low,Fixed Deposit
58,106601,74215,32386,12139,Retirement,7,Low,Government Bonds
39,95384,80471,14913,6425,Wealth Creation,7,Low,Mutual Fund
48,49465,11266,38199,9045,Wealth Creation,8,Medium,Mutual Fund
42,126716,41492,85224,23696,Wealth Creation,21,High,Stocks
53,90754,71809,18945,11607,House Purchase,5,High,Mutual Fund
47,36966,18676,18290,10349,Retirement,14,Medium,Mutual Fund
35,121755,43549,78206,17227,Emergency Fund,17,High,Gold ETF
54,44802,18280,26522,9454,Retirement,11,Medium,Mutual Fund
28,29746,23321,6425,4983,House Purchase,25,High,Mutual Fund
60,112657,35952,76705,22304,Wealth Creation,17,Low,Mutual Fund
59,26200,12485,13715,9161,House Purchase,2,Medium,Balanced Fund
58,56637,44810,11827,9100,Child Education,20,High,Mutual Fund
26,148255,40547,107708,22220,House Purchase,18,Medium,Balanced Fund
58,88169,81521,6648,2890,Emergency Fund,18,Medium,Mutual Fund
41,97289,87544,9745,4857,Child Education,11,High,Mutual Fund
35,40636,18740,21896,18830,Child Education,15,Low,Mutual Fund
31,149070,32569,116501,22646,Retirement,15,High,Mutual Fund
36,135712,12993,122719,19567,Emergency Fund,10,Medium,Mutual Fund
59,93117,36905,56212,6832,Retirement,11,Medium,Mutual Fund
25,46955,37990,8965,2811,Child Education,16,Low,Mutual Fund
25,33704,14853,18851,15710,Emergency Fund,7,High,Gold ETF
47,85978,52307,33671,15492,Emergency Fund,11,Medium,Mutual Fund
26,146711,140842,5869,2531,Wealth Creation,12,High,Stocks
36,36899,24175,12724,8676,Emergency Fund,19,Medium,Mutual Fund
39,105846,34756,71090,10484,Child Education,18,Low,Mutual Fund
27,60290,25895,34395,20817,Retirement,8,High,Mutual Fund
38,34935,26324,8611,8602,Retirement,4,High,Mutual Fund
54,138940,85307,53633,15379,Child Education,13,Low,Mutual Fund
45,80120,25151,54969,14161,Child Education,15,High,Mutual Fund
21,71041,32148,38893,13839,House Purchase,3,Low,Fixed Deposit
26,51806,35440,16366,5040,Wealth Creation,4,Low,Mutual Fund
39,43062,24673,18389,5667,Wealth Creation,12,High,Stocks
36,103950,31928,72022,5675,Wealth Creation,12,Low,Mutual Fund
38,99112,88400,10712,7630,Child Education,8,High,Mutual Fund
37,46421,26660,19761,14158,House Purchase,16,High,Mutual Fund
29,67983,22326,45657,22900,House Purchase,15,Low,Fixed Deposit
